172 -0.27772462 -0.048178468 10.0578 136 109 49
173 -0.25210854 -0.052277043 10.067022 17 11 7
174 -0.30539003 -0.018463794 10.100836 131 95 36
175 -0.3094886 -0.0071927113 10.050628 118 87 28
176 -0.30334073 -0.03075952 10.080342 170 140 82
177 -0.2746507 -0.03075952 9.968657 157 130 63
178 -0.23776352 -0.070720635 9.994272 118 83 42
179 -0.28182322 -0.047153823 10.041406 181 161 111
180 -0.29411894 -0.042030603 10.078293 188 156 80
181 -0.24903461 -0.05432633 9.998371 102 76 38
182 -0.2603057 -0.039981317 9.998371 107 84 50
183 -0.29616824 -0.027685588 10.11518 144 108 41
184 -0.29514357 -0.010266643 10.026036 143 111 49
185 -0.3002668 -0.027685588 10.097761 147 112 42
186 -0.28079855 -0.0051434236 9.937917 91 64 42
187 -0.28797108 -0.0153898625 9.957385 163 134 57
188 -0.26645356 -0.048178468 10.020913 145 119 72
189 -0.28592178 -0.024611657 10.026036 130 98 41
190 -0.28694645 -0.039981317 10.111082 147 113 43
191 -0.26850283 -0.020513082 9.952262 164 136 54
192 -0.27772462 -0.03588274 10.020913 131 106 64
193 -0.27157676 -0.045104533 10.090589 87 59 27
194 -0.2398128 -0.04612918 10.114156 5 3 9
195 -0.24596068 -0.02256237 9.946115 77 51 23
196 -0.25518247 -0.034858096 9.965582 149 124 58
197 -0.26337963 -0.050227754 10.036283 115 88 46
198 -0.24903461 -0.03588274 10.118255 2 3 9
199 -0.25723177 -0.047153823 10.052677 68 46 21
200 -0.30129144 -0.01743915 10.047554 160 126 55
201 -0.25415784 -0.047153823 10.065997 20 15 10
202 -0.24800996 -0.048178468 10.082392 14 11 12
203 -0.27772462 -0.026660945 9.97173 136 103 49
204 -0.29206964 -0.0256363 10.128501 117 85 29
205 -0.2982175 -0.014365219 10.13055 134 103 43
206 -0.24083745 -0.047153823 9.976853 74 58 41
207 -0.29206964 -0.032808807 10.045505 153 123 62
208 -0.2346896 -0.037932027 9.956361 58 46 28
209 -0.23264031 -0.05432633 10.04448 28 18 11
210 -0.28079855 -0.04612918 10.056776 151 120 49
211 -0.22854173 -0.08199172 10.008617 37 28 16
212 -0.31051323 -0.0041187797 10.050628 111 84 44
213 -0.2398128 -0.068671346 9.996322 98 74 52
214 -0.2603057 -0.008217355 9.933819 51 26 15
215 -0.28284785 -0.045104533 10.039357 194 174 127
216 -0.22751708 -0.144495 10.129525 92 41 1
217 -0.26235497 -0.039981317 9.986075 133 105 52
218 -0.23776352 -0.012315931 9.926646 60 41 23
219 -0.27362606 -0.029734876 9.988125 33 20 13
220 -0.23673888 -0.068671346 10.009642 18 9 7
221 -0.23059101 -0.065597415 10.027061 27 20 13
222 -0.2746507 -0.04612918 10.07317 173 141 57
223 -0.2654289 -0.044079892 10.105959 83 63 30
224 -0.3023161 -0.014365219 10.117229 147 107 33
225 -0.2695275 -0.03075952 9.991199 73 53 30
226 -0.29206964 -0.03075952 10.11518 146 107 37
227 -0.2889957 -0.03588274 10.047554 145 112 53
228 -0.3074393 -0.010266643 10.051653 143 111 46
229 -0.29206964 -0.044079892 10.082392 176 143 62
230 -0.30129144 -0.016414506 10.118255 141 105 40
231 -0.27772462 -0.010266643 9.942016 98 65 40
232 -0.26440427 -0.024611657 9.955336 157 132 54
233 -0.28592178 -0.01743915 9.9594345 164 135 55
